,plate,sample,mpn,mpn_adj,upper,lower,rarity
0,plate_0,0,135348786.35899365,122996765.78883417,298085151.8813122,61456579.95117667,1.0
1,plate_1,1,101520717.99022827,93074037.80649841,232013285.15146416,44421836.3380491,0.8548227993673293
2,plate_2,2,62168440.99878443,53532326.080304384,156725034.12048838,24660483.106024016,1.0
3,plate_3,3,11453391.028255366,10450513.279939208,26629601.596313417,4926103.21531363,1.0
4,plate_4,4,4422233.758913794,3598986.3024232085,10727238.463969417,1823036.8872810933,0.3251902359182907
5,plate_5,5,6216844.099878433,5353232.608030426,15672503.412048804,2466048.310602399,1.0
6,plate_6,6,1586969.5888235227,1421572.4973051217,3606815.1851407117,698253.8185561199,0.726817147062462
7,plate_7,7,2872662.344876575,2421646.298156484,6792344.996540679,1214924.8826251607,0.8585706653640147
8,plate_8,8,1832564.0985208447,1630889.465673292,3737351.512267653,898575.1445011549,0.06943536054132746
9,plate_9,9,158696.95888235283,142157.24973051267,360681.5185140727,69825.3818556122,0.7268171470624597
10,plate_10,10,159646.48743182977,143583.21537386763,337238.6599536518,75575.56109618087,0.5387874953084967
11,plate_11,11,621684.4099878496,535323.2608030499,1567250.3412049008,246604.8310602417,1.0
