Sample,Mircotiter,CFU,MPN,MPNadjusted
undiluted ,A1,9.059772173,9.480176352,9.438615678
undiluted ,A2,8.918010464,9.355276667,9.317550541
undiluted ,A3,9.015572203,9.142291963,9.077338101
diluted_1,B1,8.221118571,8.407656074,8.367859607
diluted_1,B2,8.2556905,7.994363682,7.90490218
diluted_1,B3,8.258573773,8.142291963,8.077338101
diluted_2,C1,7.180145708,7.54929059,7.501490999
diluted_2,C2,7.156408269,7.807006568,7.732832697
diluted_2,C3,7.354599384,7.61178116,7.561146514
diluted_3,D1,6.417246955,6.54929059,6.501490999
diluted_3,D2,6.860853443,6.551881354,6.505825661
diluted_3,D3,6.767631129,7.142291963,7.077338101
